Date;IT;EXOG1;EXOG2
2013-10-01;151,9960761;17,54;11,2
2013-10-02;148,8656752;17,39;11,07
2013-10-03;155,9632304;16,16;12,73
2013-10-04;164,4116595;16,22;10,53
2013-10-05;131,0433796;16,04;10,88
2013-10-06;122,4549968;16,69;10,22
2013-10-07;163,6312068;16,89;10,06
2013-10-08;166,2729764;16,49;8,68
2013-10-09;164,4021368;16,39;7,26
2013-10-10;159,3496589;16;12,23
2013-10-11;161,6390357;15,08;11,45
2013-10-12;132,1715177;15,14;9,88
2013-10-13;138,9304627;16,02;6,84
2013-10-14;179,3612239;16,34;6,87
2013-10-15;177,684452;16,6;8,24
2013-10-16;161,6269247;16,59;14,58
2013-10-17;165,9294458;15,67;11,67
2013-10-18;165,2352477;15,07;6,89
2013-10-19;138,5337751;15,94;8,08
2013-10-20;127,3203683;17,08;10,07
2013-10-21;170,9046659;17,43;8,42
2013-10-22;171,7068603;17,63;8,83
2013-10-23;165,9080924;17,72;10,49
2013-10-24;161,7301111;17,24;7,51
2013-10-25;153,5942584;17,22;6,92
2013-10-26;121,650322;17,29;7,25
2013-10-27;107,4530385;17,28;9,51
2013-10-28;147,7506996;18,01;12,41
2013-10-29;151,7388622;16,83;8,72
2013-10-30;154,9473135;15,86;8,72
2013-10-31;156,0191321;13,89;8,01
2013-11-01;130,8089911;13,19;4,38
2013-11-02;133,898311;15,45;9,4
2013-11-03;122,702351;15,79;13,95
2013-11-04;169,2742163;14,71;13,93
2013-11-05;176,3778675;13,38;15,49
2013-11-06;171,0780974;14,23;14,01
2013-11-07;176,2040288;15,02;9,71
2013-11-08;173,8039676;15,22;8,25
2013-11-09;138,2217056;15;12
2013-11-10;142,0042097;13,06;15,83
2013-11-11;196,8619812;11,07;22,29
2013-11-12;205,4998272;11,58;14,75
2013-11-13;203,797008;12,19;11,45
2013-11-14;209,0371638;12,09;9,87
2013-11-15;214,6970673;10,84;12,56
2013-11-16;173,6302125;11,36;11,49
2013-11-17;167,3450134;11,37;7,52
2013-11-18;222,7593183;11,58;12,36
2013-11-19;225,3868712;11,33;14,54
2013-11-20;227,0701084;10,47;13,12
2013-11-21;250,7816272;8,38;14,07
2013-11-22;255,6684303;7,82;12,95
2013-11-23;226,2640801;7,79;14,83
2013-11-24;213,9324031;7,68;11,3
2013-11-25;277,9922541;6,56;15,16
2013-11-26;312,5278498;3,85;18,1
2013-11-27;338,76119;3,18;11,96
2013-11-28;337,203199;3,94;9,66
2013-11-29;321,1112393;5,39;8,54
2013-11-30;280,1793989;6,11;11,23
2013-12-01;252,8604521;7,66;18,86
2013-12-02;301,9409816;8,69;16,73
2013-12-03;308,5456025;7,19;12,04
2013-12-04;320,7279245;6,18;8,08
2013-12-05;316,3864982;6,54;8,03
2013-12-06;303,3932248;7,3;12,65
2013-12-07;276,7359175;6,67;9,97
2013-12-08;270,3464831;6,01;7,47
2013-12-09;336,9529411;6,58;7,1
2013-12-10;326,6878026;7,08;8,91
2013-12-11;330,0059434;6,81;7,67
2013-12-12;336,9301722;5,99;6,78
2013-12-13;328,0209629;4,58;7,31
2013-12-14;279,6416387;6,31;6,82
2013-12-15;262,8611267;6,55;8,21
2013-12-16;322,0339779;6,42;8,88
2013-12-17;328,9977401;6,12;8,03
2013-12-18;332,6186946;3,71;6,78
2013-12-19;326,7539523;6,18;8,8
2013-12-20;304,9869746;7,93;9,52
2013-12-21;254,9367857;7,97;7,34
2013-12-22;245,1809929;8,11;7,34
2013-12-23;266,0229106;7,27;3,89
2013-12-24;238,7505288;8,38;10,53
2013-12-25;193,3822098;10,22;17,86
2013-12-26;196,3766392;9,12;22
2013-12-27;236,1969793;7,43;10,4
2013-12-28;225,4127945;7,51;8,87
2013-12-29;217,9176404;8,2;8,9
2013-12-30;249,2972273;7,18;9,3
2013-12-31;244,568086;6,13;8,9
2014-01-01;226,168858;6,5;7,43
2014-01-02;271,7426117;7,42;9,44
2014-01-03;265,9387831;8,67;8,26
2014-01-04;233,2004361;9,58;12,43
2014-01-05;216,3943675;9,07;17,42
2014-01-06;233,8432216;7,83;8,06
2014-01-07;288,7768272;8,42;6,93
2014-01-08;289,6857373;8,55;7,06
2014-01-09;289,5075713;8,41;7,6
2014-01-10;274,9482266;8,81;7,62
2014-01-11;234,9618073;8,71;6,67
2014-01-12;228,3469977;8,29;6,36
2014-01-13;293,8661262;8,07;6,7
2014-01-14;299,2257854;8,21;11,17
2014-01-15;301,0412168;7,2;8,27
2014-01-16;304,7307879;7,23;8,34
2014-01-17;294,1172145;8,91;14,52
2014-01-18;242,1361835;9,6;14,71
2014-01-19;220,4404458;10,02;15,75
2014-01-20;270,2951326;9,02;13,23
2014-01-21;270,8645427;8,37;15,51
2014-01-22;267,338999;7,85;9,37
2014-01-23;274,1639562;7,67;7,59
2014-01-24;278,484323;6,81;16
2014-01-25;242,5966105;5,33;15,93
2014-01-26;236,2332477;5,5;15,39
2014-01-27;307,5386421;5,63;11,76
2014-01-28;318,6007849;4,88;12,59
2014-01-29;325,3053569;4,6;11,19
2014-01-30;321,5945026;7,28;17,13
2014-01-31;295,9597771;8,49;16,62
2014-02-01;244,6624399;8,54;13,86
2014-02-02;228,0181286;7,78;12,11
2014-02-03;290,5657529;7,51;12,25
2014-02-04;291,7977866;7,19;9,5
2014-02-05;285,4260793;7,59;11,8
2014-02-06;271,7598292;7,03;7,62
2014-02-07;269,9784823;8,76;13,82
2014-02-08;227,4458795;8,87;13,79
